soft_negative
"('protein_0', 'protein_1')"
"('protein_0', 'protein_4')"
"('protein_0', 'protein_5')"
"('protein_0', 'protein_6')"
"('protein_0', 'protein_8')"
"('protein_0', 'protein_12')"
"('protein_0', 'protein_15')"
"('protein_0', 'protein_19')"
"('protein_0', 'protein_20')"
"('protein_0', 'protein_23')"
"('protein_0', 'protein_24')"
"('protein_0', 'protein_25')"
"('protein_0', 'protein_27')"
"('protein_0', 'protein_28')"
"('protein_0', 'protein_31')"
"('protein_0', 'protein_32')"
"('protein_0', 'protein_33')"
"('protein_0', 'protein_34')"
"('protein_0', 'protein_36')"
"('protein_0', 'protein_37')"
"('protein_0', 'protein_41')"
"('protein_0', 'protein_45')"
"('protein_0', 'protein_46')"
"('protein_0', 'protein_49')"
"('protein_2', 'protein_1')"
"('protein_2', 'protein_4')"
"('protein_2', 'protein_5')"
"('protein_2', 'protein_6')"
"('protein_2', 'protein_8')"
"('protein_2', 'protein_12')"
"('protein_2', 'protein_15')"
"('protein_2', 'protein_19')"
"('protein_2', 'protein_20')"
"('protein_2', 'protein_23')"
"('protein_2', 'protein_24')"
"('protein_2', 'protein_25')"
"('protein_2', 'protein_27')"
"('protein_2', 'protein_28')"
"('protein_2', 'protein_31')"
"('protein_2', 'protein_32')"
"('protein_2', 'protein_33')"
"('protein_2', 'protein_34')"
"('protein_2', 'protein_36')"
"('protein_2', 'protein_37')"
"('protein_2', 'protein_41')"
"('protein_2', 'protein_45')"
"('protein_2', 'protein_46')"
"('protein_2', 'protein_49')"
"('protein_3', 'protein_1')"
"('protein_3', 'protein_4')"
"('protein_3', 'protein_5')"
"('protein_3', 'protein_6')"
"('protein_3', 'protein_8')"
"('protein_3', 'protein_12')"
"('protein_3', 'protein_15')"
"('protein_3', 'protein_19')"
"('protein_3', 'protein_20')"
"('protein_3', 'protein_23')"
"('protein_3', 'protein_24')"
"('protein_3', 'protein_25')"
"('protein_3', 'protein_27')"
"('protein_3', 'protein_28')"
"('protein_3', 'protein_31')"
"('protein_3', 'protein_32')"
"('protein_3', 'protein_33')"
"('protein_3', 'protein_34')"
"('protein_3', 'protein_36')"
"('protein_3', 'protein_37')"
"('protein_3', 'protein_41')"
"('protein_3', 'protein_45')"
"('protein_3', 'protein_46')"
"('protein_3', 'protein_49')"
"('protein_7', 'protein_1')"
"('protein_7', 'protein_4')"
"('protein_7', 'protein_5')"
"('protein_7', 'protein_6')"
"('protein_7', 'protein_8')"
"('protein_7', 'protein_12')"
"('protein_7', 'protein_15')"
"('protein_7', 'protein_19')"
"('protein_7', 'protein_20')"
"('protein_7', 'protein_23')"
"('protein_7', 'protein_24')"
"('protein_7', 'protein_25')"
"('protein_7', 'protein_27')"
"('protein_7', 'protein_28')"
"('protein_7', 'protein_31')"
"('protein_7', 'protein_32')"
"('protein_7', 'protein_33')"
"('protein_7', 'protein_34')"
"('protein_7', 'protein_36')"
"('protein_7', 'protein_41')"
"('protein_7', 'protein_45')"
"('protein_7', 'protein_46')"
"('protein_7', 'protein_49')"
"('protein_9', 'protein_1')"
"('protein_9', 'protein_4')"
"('protein_9', 'protein_5')"
"('protein_9', 'protein_6')"
"('protein_9', 'protein_8')"
"('protein_9', 'protein_12')"
"('protein_9', 'protein_15')"
"('protein_9', 'protein_19')"
"('protein_9', 'protein_20')"
"('protein_9', 'protein_23')"
"('protein_9', 'protein_24')"
"('protein_9', 'protein_25')"
"('protein_9', 'protein_27')"
"('protein_9', 'protein_28')"
"('protein_9', 'protein_31')"
"('protein_9', 'protein_32')"
"('protein_9', 'protein_33')"
"('protein_9', 'protein_34')"
"('protein_9', 'protein_36')"
"('protein_9', 'protein_37')"
"('protein_9', 'protein_41')"
"('protein_9', 'protein_45')"
"('protein_9', 'protein_46')"
"('protein_9', 'protein_49')"
"('protein_10', 'protein_1')"
"('protein_10', 'protein_4')"
"('protein_10', 'protein_5')"
"('protein_10', 'protein_6')"
"('protein_10', 'protein_8')"
"('protein_10', 'protein_12')"
"('protein_10', 'protein_15')"
"('protein_10', 'protein_19')"
"('protein_10', 'protein_20')"
"('protein_10', 'protein_23')"
"('protein_10', 'protein_24')"
"('protein_10', 'protein_25')"
"('protein_10', 'protein_27')"
"('protein_10', 'protein_28')"
"('protein_10', 'protein_31')"
"('protein_10', 'protein_32')"
"('protein_10', 'protein_33')"
"('protein_10', 'protein_34')"
"('protein_10', 'protein_36')"
"('protein_10', 'protein_37')"
"('protein_10', 'protein_41')"
"('protein_10', 'protein_45')"
"('protein_10', 'protein_46')"
"('protein_10', 'protein_49')"
"('protein_11', 'protein_1')"
"('protein_11', 'protein_4')"
"('protein_11', 'protein_5')"
"('protein_11', 'protein_6')"
"('protein_11', 'protein_8')"
"('protein_11', 'protein_12')"
"('protein_11', 'protein_15')"
"('protein_11', 'protein_19')"
"('protein_11', 'protein_20')"
"('protein_11', 'protein_23')"
"('protein_11', 'protein_24')"
"('protein_11', 'protein_25')"
"('protein_11', 'protein_27')"
"('protein_11', 'protein_28')"
"('protein_11', 'protein_31')"
"('protein_11', 'protein_32')"
"('protein_11', 'protein_33')"
"('protein_11', 'protein_34')"
"('protein_11', 'protein_36')"
"('protein_11', 'protein_37')"
"('protein_11', 'protein_41')"
"('protein_11', 'protein_45')"
"('protein_11', 'protein_46')"
"('protein_11', 'protein_49')"
"('protein_13', 'protein_1')"
"('protein_13', 'protein_4')"
"('protein_13', 'protein_5')"
"('protein_13', 'protein_6')"
"('protein_13', 'protein_8')"
"('protein_13', 'protein_12')"
"('protein_13', 'protein_15')"
"('protein_13', 'protein_19')"
"('protein_13', 'protein_20')"
"('protein_13', 'protein_23')"
"('protein_13', 'protein_24')"
"('protein_13', 'protein_25')"
"('protein_13', 'protein_27')"
"('protein_13', 'protein_28')"
"('protein_13', 'protein_31')"
"('protein_13', 'protein_32')"
"('protein_13', 'protein_33')"
"('protein_13', 'protein_34')"
"('protein_13', 'protein_36')"
"('protein_13', 'protein_37')"
"('protein_13', 'protein_41')"
"('protein_13', 'protein_45')"
"('protein_13', 'protein_46')"
"('protein_13', 'protein_49')"
"('protein_14', 'protein_1')"
"('protein_14', 'protein_4')"
"('protein_14', 'protein_5')"
"('protein_14', 'protein_6')"
"('protein_14', 'protein_8')"
"('protein_14', 'protein_12')"
"('protein_14', 'protein_15')"
"('protein_14', 'protein_19')"
"('protein_14', 'protein_20')"
"('protein_14', 'protein_23')"
"('protein_14', 'protein_24')"
"('protein_14', 'protein_25')"
"('protein_14', 'protein_27')"
"('protein_14', 'protein_28')"
"('protein_14', 'protein_31')"
"('protein_14', 'protein_32')"
"('protein_14', 'protein_33')"
"('protein_14', 'protein_34')"
"('protein_14', 'protein_36')"
"('protein_14', 'protein_37')"
"('protein_14', 'protein_41')"
"('protein_14', 'protein_45')"
"('protein_14', 'protein_46')"
"('protein_14', 'protein_49')"
"('protein_16', 'protein_1')"
"('protein_16', 'protein_4')"
"('protein_16', 'protein_5')"
"('protein_16', 'protein_6')"
"('protein_16', 'protein_8')"
"('protein_16', 'protein_12')"
"('protein_16', 'protein_15')"
"('protein_16', 'protein_19')"
"('protein_16', 'protein_20')"
"('protein_16', 'protein_23')"
"('protein_16', 'protein_24')"
"('protein_16', 'protein_25')"
"('protein_16', 'protein_27')"
"('protein_16', 'protein_28')"
"('protein_16', 'protein_31')"
"('protein_16', 'protein_32')"
"('protein_16', 'protein_33')"
"('protein_16', 'protein_34')"
"('protein_16', 'protein_36')"
"('protein_16', 'protein_37')"
"('protein_16', 'protein_41')"
"('protein_16', 'protein_45')"
"('protein_16', 'protein_46')"
"('protein_16', 'protein_49')"
"('protein_17', 'protein_1')"
"('protein_17', 'protein_4')"
"('protein_17', 'protein_5')"
"('protein_17', 'protein_6')"
"('protein_17', 'protein_8')"
"('protein_17', 'protein_12')"
"('protein_17', 'protein_15')"
"('protein_17', 'protein_19')"
"('protein_17', 'protein_20')"
"('protein_17', 'protein_23')"
"('protein_17', 'protein_24')"
"('protein_17', 'protein_25')"
"('protein_17', 'protein_27')"
"('protein_17', 'protein_28')"
"('protein_17', 'protein_31')"
"('protein_17', 'protein_32')"
"('protein_17', 'protein_33')"
"('protein_17', 'protein_34')"
"('protein_17', 'protein_36')"
"('protein_17', 'protein_37')"
"('protein_17', 'protein_41')"
"('protein_17', 'protein_45')"
"('protein_17', 'protein_46')"
"('protein_18', 'protein_1')"
"('protein_18', 'protein_4')"
"('protein_18', 'protein_5')"
"('protein_18', 'protein_6')"
"('protein_18', 'protein_8')"
"('protein_18', 'protein_12')"
"('protein_18', 'protein_15')"
"('protein_18', 'protein_19')"
"('protein_18', 'protein_20')"
"('protein_18', 'protein_23')"
"('protein_18', 'protein_24')"
"('protein_18', 'protein_25')"
"('protein_18', 'protein_27')"
"('protein_18', 'protein_28')"
"('protein_18', 'protein_31')"
"('protein_18', 'protein_32')"
"('protein_18', 'protein_33')"
"('protein_18', 'protein_34')"
"('protein_18', 'protein_36')"
"('protein_18', 'protein_37')"
"('protein_18', 'protein_41')"
"('protein_18', 'protein_45')"
"('protein_18', 'protein_46')"
"('protein_18', 'protein_49')"
"('protein_21', 'protein_1')"
"('protein_21', 'protein_4')"
"('protein_21', 'protein_5')"
"('protein_21', 'protein_6')"
"('protein_21', 'protein_8')"
"('protein_21', 'protein_12')"
"('protein_21', 'protein_15')"
"('protein_21', 'protein_19')"
"('protein_21', 'protein_20')"
"('protein_21', 'protein_23')"
"('protein_21', 'protein_24')"
"('protein_21', 'protein_25')"
"('protein_21', 'protein_27')"
"('protein_21', 'protein_28')"
"('protein_21', 'protein_31')"
"('protein_21', 'protein_32')"
"('protein_21', 'protein_33')"
"('protein_21', 'protein_34')"
"('protein_21', 'protein_36')"
"('protein_21', 'protein_37')"
"('protein_21', 'protein_41')"
"('protein_21', 'protein_45')"
"('protein_21', 'protein_46')"
"('protein_21', 'protein_49')"
"('protein_22', 'protein_1')"
"('protein_22', 'protein_4')"
